ssn,sex,overall,v1,v2,v3,v4,v5,v6,v7,v8,v9,v11,v12,v13,v14,v16,v17,v20
196781011,0,4,5,3,4,2,6,6,6,7,4,7,2,2,4,3,1,4
196015349,1,5,1,5,5,7,2,4,3,3,7,3,3,5,6,5,5,3
195697039,1,3,5,1,6,3,4,3,5,5,4,5,2,2,3,3,4,5
199878431,0,3,6,3,3,4,3,3,5,5,4,6,2,2,4,4,4,5
199294772,0,4,3,2,3,4,4,6,3,5,3,4,2,6,6,6,4,4
198602397,1,4,3,5,4,3,6,3,3,4,4,3,5,6,5,3,4,5
199741824,1,4,5,5,6,2,5,5,5,2,5,5,5,4,4,5,5,6
199002033,1,6,6,6,7,6,7,2,2,4,4,2,2,4,5,5,7,6
196054757,1,2,4,1,4,4,5,5,6,4,1,5,3,3,2,2,5,4
199399611,1,3,4,3,5,5,4,7,6,5,2,7,6,2,5,1,1,3
195467013,0,7,6,4,6,5,6,6,5,6,6,6,6,5,5,7,5,4
199867122,0,3,6,2,5,5,4,4,4,2,4,3,6,1,6,4,4,5
199402063,1,5,5,6,4,3,6,4,6,3,3,5,3,7,5,3,5,5
196472464,0,4,2,5,3,5,3,4,5,1,4,3,4,5,6,4,4,4
198312780,1,4,3,5,6,6,5,6,4,3,5,4,5,5,3,7,4,5
195714200,0,5,3,2,4,4,5,4,6,7,3,6,4,5,4,5,3,2
197839867,0,5,2,4,2,4,5,6,6,4,5,4,2,5,6,5,5,4
197360650,1,5,4,3,5,5,7,2,5,4,7,5,5,5,5,6,4,6
198423423,1,6,6,5,5,4,5,4,4,5,7,4,2,7,6,5,6,6
198384769,1,4,6,4,6,4,5,5,3,3,5,3,4,5,5,5,6,5
196468709,0,2,4,2,5,3,4,5,5,4,1,3,3,3,3,1,2,6
198327220,1,5,7,5,5,4,5,5,6,7,2,4,5,3,3,5,5,6
198854053,0,4,7,3,6,5,7,5,5,3,2,3,4,2,4,5,4,7
197561438,1,7,6,4,6,3,7,6,5,6,5,4,5,5,1,6,3,7
197616074,1,3,6,2,7,6,7,4,4,3,3,5,4,2,6,3,2,6
198455184,0,3,4,2,3,2,5,6,6,4,2,7,3,5,4,2,3,6
195767166,0,3,5,4,3,3,4,4,4,4,5,3,2,5,4,2,4,2
197383876,1,6,4,5,6,2,4,7,7,4,4,6,6,5,4,2,7,5
196980772,0,5,5,5,7,4,7,5,3,4,4,5,2,4,4,5,3,7
199056311,1,4,6,6,5,6,4,3,3,3,4,4,5,5,5,3,3,3
197523443,0,4,3,4,5,3,4,7,5,4,5,5,2,4,2,6,3,4
197118867,1,2,6,3,4,2,4,4,6,5,3,5,3,2,3,2,3,7
196764846,0,6,6,4,5,6,7,6,6,6,3,5,4,4,4,2,7,6
195453541,0,4,7,2,7,6,7,2,3,4,3,5,4,2,6,2,3,7
199419546,0,5,6,1,5,7,6,6,6,6,4,7,5,3,7,3,2,7
196938700,1,4,3,3,2,4,3,6,6,5,2,5,5,4,6,3,4,5
197390192,0,4,6,5,6,5,5,4,6,6,2,3,4,3,5,4,4,6
199189235,1,4,4,7,2,5,4,6,3,2,5,4,6,5,4,3,5,5
197208282,0,5,5,4,5,2,5,3,5,2,4,3,3,5,2,5,4,4
199137175,0,4,3,7,4,3,3,4,3,5,3,6,2,4,1,4,4,2
198922695,0,1,4,3,6,5,3,2,4,4,3,3,3,2,4,1,2,4
199194689,0,2,4,2,4,4,4,3,3,4,4,3,3,4,3,2,3,6
196457760,0,3,4,4,3,2,3,3,4,2,4,2,2,4,3,2,6,4
197705530,1,8,7,5,5,2,3,5,5,5,2,6,1,3,3,2,4,7
196092688,1,6,6,3,7,5,7,6,6,5,3,6,5,3,5,6,3,6
196222272,0,5,3,4,4,6,6,7,6,4,6,5,4,7,5,2,3,7
198051453,1,3,7,3,5,5,6,4,2,5,4,3,5,2,4,2,5,6
198349096,0,4,6,3,5,6,3,6,5,6,1,5,4,3,5,2,3,5
196297489,1,4,5,3,5,5,3,4,4,3,3,6,6,4,5,2,5,4
195952436,1,5,4,3,6,7,4,6,4,4,4,5,6,4,5,2,4,5
198095795,0,5,5,3,7,4,4,6,5,6,5,7,3,4,3,2,5,6
195531033,1,6,6,5,7,3,4,5,5,6,2,7,3,2,3,3,4,6
199695454,1,4,4,5,5,4,2,3,3,3,3,2,2,5,1,4,6,5
199604344,0,3,5,4,4,3,7,5,4,3,2,6,3,5,2,3,2,4
196361537,0,4,7,3,4,5,5,5,3,5,2,6,6,4,4,3,3,6
197197007,0,5,4,4,6,6,4,4,6,3,4,5,3,6,6,5,3,5
197814615,1,5,2,4,4,6,2,4,6,3,3,3,6,3,5,6,5,6
199779504,1,3,7,4,7,4,6,5,4,3,3,4,3,4,3,3,3,7
199373173,0,3,4,3,2,2,5,5,4,6,2,6,2,2,3,1,3,3
197546210,1,6,6,4,7,7,7,6,3,3,3,5,3,5,3,6,3,7
199833153,1,3,6,3,7,4,6,2,3,3,2,2,5,4,4,1,2,6
199024340,0,2,3,2,5,4,4,3,4,2,3,3,1,3,3,3,1,5
196967846,1,5,4,6,6,4,6,2,4,4,6,4,3,6,3,6,7,4
199145745,1,4,3,6,4,2,4,3,4,4,5,5,3,7,5,7,5,3
197263052,0,5,6,6,5,5,6,3,4,4,4,4,5,5,6,5,4,5
198259949,0,5,6,3,6,4,6,5,4,6,4,5,5,1,4,1,4,3
196572598,0,6,4,4,5,4,4,2,5,6,4,3,6,7,6,5,6,3
197611974,0,2,3,3,4,3,5,5,5,4,3,4,2,3,1,3,3,3
197479765,0,4,7,6,6,3,5,4,3,3,3,5,5,2,5,5,1,2
195953676,0,4,5,2,6,4,5,6,6,3,2,6,4,3,3,3,4,6
195454855,0,3,3,4,4,3,6,6,4,4,6,5,3,4,2,3,6,4
198250342,0,5,5,6,4,1,4,6,5,5,4,6,2,5,1,3,6,6
196529588,1,5,6,6,4,7,6,5,6,5,5,6,4,6,7,6,5,3
195740536,0,5,5,5,6,1,5,2,3,5,6,6,4,5,2,5,5,6
195852927,0,2,4,1,3,2,5,6,6,5,3,4,3,3,4,5,3,4
195882287,0,6,6,6,7,3,5,4,5,4,4,4,7,6,5,6,7,5
196095174,1,3,5,5,4,4,7,3,4,4,5,3,3,4,2,5,3,6
196933773,1,3,4,3,3,3,5,2,3,5,4,3,1,5,2,7,3,1
197678211,0,2,3,5,4,3,2,5,2,3,2,3,4,1,4,4,2,4
198824463,0,4,5,2,6,4,3,4,3,3,6,3,5,3,3,7,5,6
198574390,1,5,7,4,7,3,7,5,3,5,7,5,4,4,4,3,3,6
